bedrooms,rent,sqft,date,longitude,latitude
1.0,660.0,700.0,2014-05-12,-119.758943,36.760849
3.0,1425.0,1375.0,2014-05-12,-119.756658,36.851942
3.0,990.0,,2014-05-12,-119.7594,36.7684
2.0,699.0,,2014-05-12,-119.7061,36.7528
3.0,1095.0,1303.0,2014-05-12,-119.8113,36.7581
3.0,1095.0,1390.0,2014-05-12,-119.7604,36.7949
2.0,625.0,700.0,2014-05-12,-119.7867,36.7487
2.0,600.0,729.0,2014-05-12,-119.78694,36.791113
1.0,635.0,693.0,2014-05-12,-119.718075,36.807178
3.0,990.0,,2014-05-12,-119.7594,36.7684
1.0,550.0,620.0,2014-05-12,-119.713575,36.808349
2.0,799.0,1064.0,2014-05-12,-119.8801,36.7918
2.0,700.0,750.0,2014-05-12,-119.839719,36.80644
2.0,775.0,860.0,2014-05-12,-119.7106,36.8149
2.0,905.0,980.0,2014-05-12,-119.779843,36.851808
2.0,810.0,820.0,2014-05-12,-119.779843,36.851808
1.0,755.0,620.0,2014-05-12,-119.779843,36.851808
3.0,640.0,,2014-05-12,-119.9032,36.5989
3.0,1150.0,1428.0,2014-05-12,-120.090923,36.965824
3.0,1200.0,1360.0,2014-05-12,-119.774674,36.846602
3.0,610.0,,2014-05-12,-120.08200000000001,36.9403
2.0,1025.0,1230.0,2014-05-12,-119.86232,36.811552
2.0,699.0,785.0,2014-05-12,-119.813236,36.84038
3.0,760.0,,2014-05-12,-119.7843,36.7377
3.0,895.0,1100.0,2014-05-12,-119.559232,36.526698
4.0,1450.0,1400.0,2014-05-12,-119.741627,36.849641
1.0,530.0,700.0,2014-05-12,-119.696933,36.73989
2.0,690.0,730.0,2014-05-12,-119.718857,36.724982
2.0,625.0,,2014-05-12,-119.764366,36.813064
3.0,1050.0,1235.0,2014-05-12,-119.726172,36.716462
2.0,900.0,1140.0,2014-05-12,-119.774674,36.846602
4.0,1795.0,2659.0,2014-05-12,-119.737518,36.867319
3.0,1200.0,1600.0,2014-05-12,-119.753077,36.80050900000001
2.0,695.0,800.0,2014-05-12,-119.754576,36.764655
3.0,1195.0,1344.0,2014-05-12,-119.4378,36.6044
2.0,695.0,840.0,2014-05-12,-119.835554,36.779597
4.0,950.0,1550.0,2014-05-12,-119.777876,36.747692
4.0,1895.0,2534.0,2014-05-12,-119.80488,36.818148
2.0,764.0,933.0,2014-05-12,-119.871383,36.793647
3.0,1450.0,,2014-05-12,-119.740065,36.853839
5.0,1595.0,1948.0,2014-05-12,-119.725775,36.762649
2.0,1430.0,1540.0,2014-05-12,-119.749088,36.841593
2.0,695.0,800.0,2014-05-12,-119.754576,36.764655
3.0,900.0,1112.0,2014-05-12,-119.791617,36.690033
1.0,735.0,700.0,2014-05-12,-119.762,36.8236
2.0,1310.0,1376.0,2014-05-12,-119.749346,36.841576
3.0,825.0,,2014-05-12,-119.765378,36.814149
3.0,1500.0,15800.0,2014-05-12,-119.830751,36.815811
1.0,695.0,696.0,2014-05-12,-119.778225,36.739252
3.0,1495.0,1770.0,2014-05-12,-119.766365,36.882794
2.0,1000.0,1371.0,2014-05-12,-119.817672,36.841254
2.0,725.0,,2014-05-12,-119.850292,36.77181
2.0,950.0,1280.0,2014-05-12,-119.8286,36.7863
2.0,1350.0,1380.0,2014-05-12,-119.830751,36.815811
3.0,1090.0,1107.0,2014-05-12,-119.871347,36.795273
4.0,1350.0,1951.0,2014-05-12,-119.825367,36.834282
2.0,1350.0,1271.0,2014-05-12,-119.6802,36.8253
2.0,650.0,,2014-05-12,-119.760422,36.794149
2.0,695.0,,2014-05-12,-119.692772,36.737731
1.0,595.0,,2014-05-12,-119.693867,36.742414
2.0,650.0,,2014-05-12,-119.731773,36.767415
2.0,650.0,,2014-05-12,-119.718174,36.759916
2.0,825.0,,2014-05-12,-119.8113,36.7581
2.0,695.0,,2014-05-12,-119.793509,36.81407100000001
2.0,755.0,840.0,2014-05-12,-119.71388600000002,36.804749
3.0,1295.0,1408.0,2014-05-12,-119.769251,36.814909
3.0,720.0,,2014-05-12,-119.5478,36.7243
2.0,695.0,,2014-05-12,-119.812198,36.786548
2.0,,,2014-05-12,-119.70952,36.736133
2.0,1025.0,1017.0,2014-05-12,-119.861809,36.822474
2.0,725.0,800.0,2014-05-12,-119.722331,36.81586400000001
2.0,725.0,793.0,2014-05-12,-119.722352,36.81583
2.0,675.0,793.0,2014-05-12,-119.722309,36.81583
3.0,730.0,,2014-05-12,-119.9532,36.7863
3.0,1395.0,1866.0,2014-05-12,-119.814074,36.83018
2.0,775.0,900.0,2014-05-12,-119.768357,36.786467
2.0,775.0,900.0,2014-05-12,-119.768636,36.786484
2.0,725.0,828.0,2014-05-12,-120.35441000000002,36.145113
2.0,995.0,1056.0,2014-05-12,-119.860392,36.815449
