bedrooms,rent,sqft,date,longitude,latitude
4.0,2472.0,2942.0,2014-05-11,-117.4378,34.1173
3.0,2000.0,1495.0,2014-05-11,-117.573559,34.075999
3.0,1995.0,1400.0,2014-05-11,-117.148552,32.710457
2.0,1200.0,1000.0,2014-05-11,-117.6089,34.081313
2.0,1375.0,1050.0,2014-05-11,-117.6043,33.8419
2.0,885.0,840.0,2014-05-11,-117.341942,33.975607000000004
2.0,1330.0,1020.0,2014-05-11,-117.2738,33.5631
3.0,1150.0,,2014-05-11,-116.953055,33.73685
3.0,975.0,987.0,2014-05-11,-117.389193,34.102019
1.0,695.0,,2014-05-11,-117.333585,34.511883000000005
4.0,1700.0,2433.0,2014-05-11,-117.27039,33.933232000000004
1.0,745.0,601.0,2014-05-11,-117.389281,34.102023
5.0,1400.0,2200.0,2014-05-11,-117.1927,34.4698
3.0,1820.0,1308.0,2014-05-11,-117.1824,33.4903
2.0,1749.0,1202.0,2014-05-11,-117.57272,33.890578999999995
3.0,1550.0,2400.0,2014-05-11,-116.886549,34.240599
2.0,1250.0,,2014-05-11,-117.700524,34.065121000000005
1.0,868.0,705.0,2014-05-11,-117.261573,33.945359
4.0,1595.0,1200.0,2014-05-11,-117.593686,34.09911
3.0,895.0,,2014-05-11,-117.331292,34.513215
3.0,2122.0,1474.0,2014-05-11,-117.564847,34.108926000000004
2.0,845.0,,2014-05-11,-117.353206,34.430629
2.0,1692.0,1019.0,2014-05-11,-117.548288,34.113471999999994
1.0,1461.0,711.0,2014-05-11,-117.558684,34.110963
4.0,694.0,1437.0,2014-05-11,-117.341942,33.975607000000004
4.0,1695.0,2012.0,2014-05-11,-117.185218,33.566
2.0,750.0,975.0,2014-05-11,-117.301952,34.499611
2.0,1395.0,,2014-05-11,-117.70743799999998,33.967712
2.0,1360.0,961.0,2014-05-11,-117.6404,33.954
2.0,1359.0,946.0,2014-05-11,-117.698939,34.086240000000004
4.0,2000.0,,2014-05-11,-117.311733,33.9823
2.0,1439.0,811.0,2014-05-11,-117.5941,34.107
1.0,1485.0,682.0,2014-05-11,-117.5941,34.107
,,,2014-05-11,-117.2874,34.0315
2.0,,986.0,2014-05-11,-117.2874,34.0315
2.0,735.0,816.0,2014-05-11,-117.346718,34.513133
2.0,1515.0,1051.0,2014-05-11,-117.558474,34.077216
2.0,695.0,950.0,2014-05-11,-117.312715,34.513765
,,,2014-05-11,-117.2874,34.0315
2.0,1050.0,803.0,2014-05-11,-117.40548,34.106504
1.0,1245.0,774.0,2014-05-11,-117.309198,33.945845
,,,2014-05-11,-117.2874,34.0315
1.0,825.0,,2014-05-11,-117.673767,34.064699
3.0,1300.0,1058.0,2014-05-11,-117.463145,33.905606
3.0,1835.0,1224.0,2014-05-11,-117.57986499999998,34.075767
2.0,1627.0,935.0,2014-05-11,-117.563775,34.118162
2.0,1960.0,1327.0,2014-05-11,-117.5941,34.107
2.0,995.0,,2014-05-11,-117.188171,34.056613
1.0,900.0,599.0,2014-05-11,-117.40548,34.106504
1.0,1262.0,991.0,2014-05-11,-117.1783,33.569
2.0,985.0,859.0,2014-05-11,-117.162743,34.070113
